Abbreviation,Description,Reaction,GPR,Genes,Proteins,Subsystem,Reversible,Lower bound,Upper bound,Objective,Confidence Score,EC Number,Notes,References
10-FORMYL-THF_Dark_pc_M1,10-FORMYL-THF_Dark_pc,10-FORMYL-THF_Dark_p_M1 <=> 10-FORMYL-THF_Dark_c_M1,,,,,1,-1000,1000,0,,,,
10-FORMYL-THF_Dark_pc_M2,10-FORMYL-THF_Dark_pc,10-FORMYL-THF_Dark_p_M2 <=> 10-FORMYL-THF_Dark_c_M2,,,,,1,-1000,1000,0,,,,
10-FORMYL-THF_Light_pc_M1,10-FORMYL-THF_Light_pc,10-FORMYL-THF_Light_p_M1 <=> 10-FORMYL-THF_Light_c_M1,,,,,1,-1000,1000,0,,,,
10-FORMYL-THF_Light_pc_M2,10-FORMYL-THF_Light_pc,10-FORMYL-THF_Light_p_M2 <=> 10-FORMYL-THF_Light_c_M2,,,,,1,-1000,1000,0,,,,
1TRANSKETO-RXN_Dark_p_M1,1TRANSKETO-RXN_Dark_p,D-SEDOHEPTULOSE-7-P_Dark_p_M1 + GAP_Dark_p_M1 <=> RIBOSE-5P_Dark_p_M1 + XYLULOSE-5-PHOSPHATE_Dark_p_M1,,,,,1,-1000,1000,0,,,,
1TRANSKETO-RXN_Dark_p_M2,1TRANSKETO-RXN_Dark_p,D-SEDOHEPTULOSE-7-P_Dark_p_M2 + GAP_Dark_p_M2 <=> RIBOSE-5P_Dark_p_M2 + XYLULOSE-5-PHOSPHATE_Dark_p_M2,,,,,1,-1000,1000,0,,,,
1TRANSKETO-RXN_Light_p_M1,1TRANSKETO-RXN_Light_p,D-SEDOHEPTULOSE-7-P_Light_p_M1 + GAP_Light_p_M1 <=> RIBOSE-5P_Light_p_M1 + XYLULOSE-5-PHOSPHATE_Light_p_M1,,,,,1,-1000,1000,0,,,,
1TRANSKETO-RXN_Light_p_M2,1TRANSKETO-RXN_Light_p,D-SEDOHEPTULOSE-7-P_Light_p_M2 + GAP_Light_p_M2 <=> RIBOSE-5P_Light_p_M2 + XYLULOSE-5-PHOSPHATE_Light_p_M2,,,,,1,-1000,1000,0,,,,
2-DEHYDROPANTOATE-REDUCT-RXN_Dark_c_M1,2-DEHYDROPANTOATE-REDUCT-RXN_Dark_c,2-DEHYDROPANTOATE_Dark_c_M1 + NADPH_Dark_c_M1 --> L-PANTOATE_Dark_c_M1 + NADP_Dark_c_M1,,,,,0,0,1000,0,,,,
2-DEHYDROPANTOATE-REDUCT-RXN_Dark_c_M2,2-DEHYDROPANTOATE-REDUCT-RXN_Dark_c,2-DEHYDROPANTOATE_Dark_c_M2 + NADPH_Dark_c_M2 --> L-PANTOATE_Dark_c_M2 + NADP_Dark_c_M2,,,,,0,0,1000,0,,,,
